Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
100 /escm/images/order-icon-adjust.png,21,35,15,42,95,314,3,314,0.00%,2.8,13.5
101 /escm/images/order-icon-custom-fields.png,21,30,21,36,39,287,3,287,0.00%,2.8,10.1
106 /escm/images/order-icon-ticket.png,21,18,15,34,38,49,3,49,0.00%,2.8,11.8
102 /escm/images/order-icon-subscription.png,21,16,11,43,45,47,3,47,0.00%,2.8,16.1
105 /escm/images/order-icon-quote.png,21,17,9,29,53,79,3,79,0.00%,2.8,10.4
104 /escm/images/order-icon-installment.png,21,20,9,45,80,140,3,140,0.00%,2.8,17.4
Order Selection,21,8220,7939,10194,10299,10681,6245,10681,0.00%,1.4,225.0
107 /escm/css/theme/images/ui-icons_222222_256x240.png,21,15,11,35,36,37,5,37,0.00%,2.8,12.8
108 /escm/images/BB-ajax-loader-round.gif,21,19,11,55,63,64,3,64,0.00%,2.8,23.5
109 /escm/order/searchOrder,21,548,520,700,701,716,425,716,0.00%,2.7,9.8
111 /escm/messages,21,100,55,278,450,460,15,460,0.00%,2.8,1.3
112 /escm/recentItem,21,43,33,87,87,118,9,118,0.00%,2.8,.9
110 /escm/order/showOrderDetail,21,2738,2720,3800,3856,4871,999,4871,0.00%,2.2,49.5
114 /escm/images/icon20.gif,21,24,7,55,77,183,3,183,0.00%,3.1,5.2
115 /escm/images/help.png,21,23,11,37,100,126,3,126,0.00%,3.1,21.1
113 /escm/images/trash.png,21,26,13,38,67,210,3,210,0.00%,3.2,29.5
117 /escm/messages,21,39,18,130,146,159,9,159,0.00%,3.2,1.4
116 /escm/css/theme/images/ui-icons_bbbbbb_256x240.png,21,16,5,45,48,60,3,60,0.00%,3.2,17.5
118 /escm/recentItem,21,29,18,62,102,104,8,104,0.00%,3.2,1.1
120 /escm/images/order-icon-usage.png,21,10,9,24,25,30,2,30,0.00%,3.2,14.2
119 /escm/images/order-icon-stop-billing.png,21,13,8,28,32,37,3,37,0.00%,3.2,14.2
Order_Search,21,3649,3651,4699,5100,5855,2013,5855,0.00%,2.1,150.3
TOTAL,2394,358,14,120,2285,8167,1,12735,1.75%,54.7,1004.3
